,Street,Num of rooms,Floor,Price,Bars,Furniture,Elevator,Terrace,Parking,Size of house per mm,Numbers_for_Type_house_in_df,Numbers_for_Cities_in_df
187,התיכון 33,5.0,3,2250000.0,1,2,2,2,2,120.0,9,11
188,הערבה 13,5.0,0,4500000.0,1,1,1,1,2,250.0,2,44
189,חבצלת,4.0,6,1200000.0,1,2,2,1,1,90.0,1,45
190,רחוב מבוקש בסביון החדשה,7.0,0,7300000.0,2,2,1,2,2,500.0,5,30
191,אבן גבירול,7.0,0,3580000.0,1,1,1,2,2,450.0,2,14
192,הירוקה,4.0,8,2550000.0,1,1,2,1,2,98.0,6,21
193,'הפועל המזרחי ג,6.0,2,2200000.0,1,1,1,1,2,90.0,1,36
194,הצפון הישן,3.0,5,3500000.0,1,1,2,1,2,75.0,1,3
195,הגפן,2.0,1,1780000.0,1,1,1,1,1,70.0,1,1
196,מרכז,3.0,2,1935000.0,1,1,1,2,2,80.0,1,1
197,מערב,4.0,6,1950000.0,1,1,2,2,2,100.0,1,18
198,בית הכרם,3.0,7,2980000.0,1,1,2,2,2,80.0,9,6
199,רמת בית הכרם,3.0,4,3050000.0,1,1,2,2,2,113.0,6,6
200,גני שרונה,4.0,11,3930000.0,1,1,2,2,2,104.0,1,3
201,רמב``ם,4.0,5,1645000.0,1,1,2,1,2,84.0,1,9
202,קריית בורכוב,3.0,0,2670000.0,1,2,1,2,1,105.0,7,1
203,קו הים,4.0,5,6800000.0,1,1,2,2,2,97.0,1,3
204,"בית""ר, יד שמואל",4.0,8,1275000.0,1,1,2,2,2,97.0,1,16
205,לב העיר,3.0,2,5900000.0,1,1,2,2,2,90.0,1,3
206,רמת בית הכרם,4.0,1,3650000.0,1,1,2,1,2,90.0,7,6
207,מרכז,4.0,5,5650000.0,1,1,2,1,2,110.0,1,3
208,חזני,5.0,3,1670000.0,1,1,1,2,2,105.0,6,19
209,נווה אילן,10.0,0,7700000.0,2,2,1,2,2,500.0,4,46
210,ברקת 33,4.0,3,1070000.0,1,1,2,2,2,94.0,1,47
211,אוסקר שינדלר,4.0,2,1335000.0,2,2,2,2,2,140.0,1,23
212,נחמיה,2.0,1,2350000.0,2,2,2,1,2,40.0,1,3
213,הנחל 6,6.0,0,5000000.0,2,2,1,2,2,375.0,3,48
214,מיכאל,2.0,2,605000.0,2,1,1,1,1,55.0,1,11
215,יהושע גיבשטיין,3.0,2,1690000.0,2,2,2,2,2,70.0,1,49
216,דרך גאון הירדן,3.0,1,500000.0,1,1,1,2,2,75.0,1,50
217,הרב פתאיה,2.0,3,14000000.0,1,1,1,2,2,65.0,1,36
218,ז'בוטינסקי,5.0,2,1700000.0,1,1,2,2,1,100.0,1,4
219,דרך משה דיין 26,4.0,3,1800000.0,1,2,1,2,2,61.0,1,3
